address,avg_gas,bytecode_len,distinct_tokens,exploit_score,log_tvl,token_transfer_count,total_tvl_usd,tx_count,unique_byte_pairs,unique_callers
0xee0319cf0bca5d09333f9f6277743e8de31bd69a,324255.61667213653,15317,29,1.319487246638288,7.023747033597832,3411,10562020.169168498,3047,256,1159
0x1162e2efce13f99ed259ffc24d99108aaa0ce935,119822.35611445234,23258,7,1.3194515131864948,6.764954652979581,533,5820423.40419231,71331,253,49718
0x62121886c954d7e23077f52217b51c26ad26be9e,489259.66589461494,15859,1,1.3192614775429472,5.337603043377136,2140,217571.01975250005,5181,255,1666
0xf6c3555139aea30f4a2be73ebc46ba64bab8ac12,20294552.85442177,936,7,1.3192556762845038,6.022253742834725,170,1052575.677354958,735,138,141
0x517a1b989d2dc9042f02aa873e26601f7f36ad99,504430.9012184508,24085,1,1.319156642136351,5.094248059707473,97,124235.17153800072,2298,256,1343
0xc4893fea8547fb1a4d860518285af6655424645f,369633.79384473275,20192,2,1.3191395337487273,5.7164665171341635,1363,520553.87395839964,23817,256,3595
0x9abdba20edfba06b782126b4d8d72a5853918fd0,440365.0946908883,8271,9,1.319134194127164,3.252327680962238,59,1786.8360121285673,90938,242,51186
0x4c4f8050e5de8560016a3bbe501ffad4b3853f2c,521705.4913733609,15585,2,1.3191122024102855,6.008777086876489,990,1020414.5939905228,2898,255,724
0x5d6cdf1b7f7c35eae688e4c563b6f16eeac2cb6b,183386.01386152548,20013,6,1.3190872581938482,6.0804014945540406,2006,1203375.4124003614,42636,251,26108
0x3335a88bb18fd3b6824b59af62b50ce494143333,413253.57151478576,14070,20,1.318810930570503,6.272445566028238,2568,1872601.3584780667,1657,254,931
0x2456bbad80bfad346aecea45fa38c81a6963132d,158551.7328992248,19192,3,1.3187475661788592,6.735700935870735,2617,5441277.261672078,32250,256,14585
0xdde3ed0bb77c1cafabf8b38f9a1e81edddc7ddc9,261662.7883547517,13570,3,1.3187311171306564,5.725049938266119,215,530944.4926072753,12606,256,6604
0xdb238123939637d65a03e4b2b485650b4f9d91cb,130173.75868347725,11178,5,1.3186663488568473,6.389582222434231,1574,2452347.698697987,72494,251,53154
0x52419258e3fa44deac7e670eadd4c892b480a805,188239.50685837053,10804,8,1.318628188774866,6.289368681299118,1711,1947011.2380016458,30255,250,18883
0x16a7460b9246ae508f18e87bda4e5b4c1ae8f112,469006.2440535679,14964,3,1.3185942897578282,4.586461857133504,182,38587.85185999083,5003,256,2623
0x7c63f96feafacd84e75a594c00fac3693386fbf0,65047.309948398746,20013,20,1.318574088261064,7.406523637785385,986,25499027.701671027,384293,252,213055
0xb1f691286ff2c0b3ca917d9cde8c866c43cb5eb8,464405.35,12809,19,1.3184910434847494,6.395319441538804,1404,2484959.224189171,1500,250,767
0x876eb293e3603856e8d70551fd21a4073e20cd97,183243.63904907616,16387,2,1.3183953003087474,7.5659704025028125,4891,36810387.622961365,16994,256,4391
0x9389e8f3e221ce5799b7db1f30089f59bb8df5e0,669911.9330389992,16053,1,1.3182798668550875,4.659926187066951,443,45700.050925200005,1359,254,766
0xe5d46cc0fd592804b36f9dc6d2ed7d4d149ebd6f,111060.74270455031,24431,7,1.3182094075550805,7.040069029124766,1919,10966523.901968341,46810,255,30887
0xd40bedb44c081d2935eeba6ef5a3c8a31a1bbe13,106361.4398368029,22661,23,1.3181754196334865,5.005349993187785,337,101238.50036897363,746827,256,301329
0x25f795a8ec8af7904aa403ff2cc7205ce683bf52,1214870.4926470588,10376,6,1.318160401734463,6.171954449622843,257,1485778.8001514042,136,245,54
